bin r g b
4 0.00176127 0.00168817 0.00219339
12 0.00184756 0.00184225 0.00270588
20 0.00230945 0.0023822 0.00348502
28 0.00275757 0.00281954 0.00416746
36 0.00316016 0.00325002 0.00469769
44 0.00352282 0.00364972 0.00515364
52 0.00387589 0.0040267 0.00548103
60 0.00418941 0.00436579 0.00570015
68 0.00451339 0.00470468 0.00582748
76 0.00477177 0.00501769 0.00582683
84 0.00505857 0.00526417 0.0057345
92 0.00529016 0.00545851 0.00557997
100 0.00546571 0.00563905 0.00537044
108 0.00560894 0.00577745 0.00515936
116 0.00569295 0.00585233 0.00491556
124 0.00564529 0.00583026 0.00463767
132 0.0055791 0.00572223 0.00434459
140 0.00547491 0.00554131 0.00407598
148 0.005319 0.00534329 0.00384749
156 0.00510197 0.00504725 0.00363123
164 0.0047755 0.00468567 0.00338771
172 0.00444037 0.00431607 0.00319462
180 0.00410365 0.00392607 0.00301293
188 0.00374223 0.00353448 0.00287364
196 0.00338353 0.00318488 0.00271142
204 0.0030535 0.00286254 0.00255589
212 0.00271701 0.00250567 0.00239768
220 0.0024388 0.00221046 0.00228741
228 0.00217045 0.00193347 0.00212867
236 0.00193107 0.00171666 0.00200742
244 0.0017702 0.00153526 0.00192601
252 0.00352782 0.00336614 0.00398126
